parm	label	estimate	stderr	z	p	min95	max95	model
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"
"2.eth5"	"Eth 5 categories"	2.5832761	.03311056	74.045264	0	2.519189	2.6489936	"model0"
"3.eth5"	"Eth 5 categories"	1.9721361	.04472789	29.943544	5.34e-197	1.8863909	2.0617787	"model0"
"4.eth5"	"Eth 5 categories"	1.5803783	.05677161	12.740218	3.534e-37	1.4729348	1.6956593	"model0"
"5.eth5"	"Eth 5 categories"	1.7495191	.0529079	18.495871	2.229e-76	1.6488349	1.8563515	"model0"
"6.eth5"	"Eth 5 categories"	1.1085707	.01027949	11.115543	1.054e-28	1.0886053	1.1289023	"model0"
"0b.male"	"Male"	1	0			1	1	"model0"
"1.male"	"Male"	1.1044651	.00836304	13.12213	2.459e-39	1.0881949	1.1209786	"model0"
"age1"	"Age spline 1"	1.0178639	.00122209	14.747282	3.203e-49	1.0154715	1.020262	"model0"
"age2"	"Age spline 2"	.95153464	.00362629	-13.035754	7.661e-39	.94445372	.95866866	"model0"
"age3"	"Age spline 3"	1.1933374	.01239115	17.022404	5.602e-65	1.1692967	1.2178724	"model0"
"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"
"2.stp"	"Sustainability and Transformation Partnership"	1.3843268	.41435973	1.0865014	.27725722	.76993689	2.4889842	"model0"
"3.stp"	"Sustainability and Transformation Partnership"	1.0492736	.31438092	.16053165	.87246229	.58324862	1.88766	"model0"
"4.stp"	"Sustainability and Transformation Partnership"	1.5482507	.46535576	1.4543287	.14585519	.85900705	2.7905246	"model0"
"5.stp"	"Sustainability and Transformation Partnership"	1.3543759	.40833872	1.0061191	.31435827	.75007635	2.4455298	"model0"
"6.stp"	"Sustainability and Transformation Partnership"	1.285114	.38482187	.83770605	.40219582	.71458358	2.3111616	"model0"
"7.stp"	"Sustainability and Transformation Partnership"	1.3704845	.41643294	1.0372087	.29963862	.75549149	2.4861006	"model0"
